_id,Anio_lectivo,Zona,Provincia,Cod_Provincia,Canton,Cod_Canton,Parroquia,Cod_Parroquia,Nombre_Institucion,AMIE,Tipo_Educacion,Sostenimiento,Area,Regimen_Escolar,Jurisdiccion,Docentes_Femenino,Docentes_Masculino,Total_Docentes,Estudiantes_Femenino,Estudiantes_Masculino,Total_Estudiantes,Ecuatoriana,Colombiana,Venezolana,Peruana,Otros_Paises_de_America,"Otros_Continentes,,,"
678edda0365f4e814ef6545c,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,EL SAGRARIO,10104,UNIDAD EDUCATIVA PARTICULAR ROSA DE JESUS CORDERO,01B00002,Ordinario,Particular,Urbana,Sierra,Intercultural,86,10,96,1473,0,1473,1455,0,0,0,18,"0,,,"
678edda0365f4e814ef6545d,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,MONAY,10109,CEBCI,01B00010,Ordinario,Particular,Urbana,Sierra,Intercultural Bilingüe,19,6,25,148,179,327,311,3,0,0,9,"4,,,"
678edda0365f4e814ef654cf,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,EL SAGRARIO,10104,MARIA AUXILIADORA,01H00113,Ordinario,Particular,Urbana,Sierra,Intercultural,42,10,52,887,0,887,871,0,0,0,15,"1,,,"
678edda0365f4e814ef654d1,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,EL SAGRARIO,10104,CORAZON DE MARIA,01H00117,Ordinario,Particular,Urbana,Sierra,Intercultural,39,28,67,1070,11,1081,1064,1,0,1,14,"1,,,"
678edda0365f4e814ef654f8,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,GIL RAMIREZ DAVALOS,10106,OCTAVIO CORDERO PALACIOS,01H00187,Ordinario,Fiscal,Urbana,Sierra,Intercultural,38,59,97,523,924,1447,1432,4,0,4,4,"3,,,"
678edda0365f4e814ef654ff,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,HUAYNACAPAC,10107,SAN JOSÉ  DE LA SALLE,01H00199,Ordinario,Particular,Urbana,Sierra,Intercultural,20,24,44,234,773,1007,990,1,0,0,16,"0,,,"
678edda0365f4e814ef65507,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,HUAYNACAPAC,10107,LA ASUNCION,01H00213,Ordinario,Particular,Urbana,Sierra,Intercultural,104,30,134,1692,988,2680,2617,1,0,2,53,"7,,,"
678edda0365f4e814ef65519,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,MACHANGARA,10108,UNIDAD EDUCATIVA POLITECNICA KENNEDY,01H00241,Ordinario,Particular,Urbana,Sierra,Intercultural,16,19,35,198,353,551,531,0,0,0,18,"2,,,"
678edda0365f4e814ef6551b,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,MONAY,10109,IVAN SALGADO ESPINOSA,01H00247,Ordinario,Fiscal,Urbana,Sierra,Intercultural,12,4,16,207,253,460,443,2,0,0,11,"4,,,"
678edda0365f4e814ef6551c,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,MONAY,10109,MANUELA  GARAICOA DE CALDERON,01H00249,Ordinario,Fiscal,Urbana,Sierra,Intercultural,122,35,157,2712,0,2712,2696,6,0,0,10,"0,,,"
678edda0365f4e814ef6551d,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,MONAY,10109,LATINOAMERICANO,01H00250,Ordinario,Particular,Urbana,Sierra,Intercultural,20,2,22,147,125,272,257,0,0,0,15,"0,,,"
678edda0365f4e814ef65526,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,SAN BLAS,10110,SUDAMERICANO,01H00271,Ordinario,Particular,Urbana,Sierra,Intercultural,25,26,51,327,576,903,888,3,0,2,10,"0,,,"
678edda0365f4e814ef65534,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,SAN SEBASTIAN,10111,SAGRADOS CORAZONES,01H00296,Ordinario,Particular,Urbana,Sierra,Intercultural,48,19,67,1087,40,1127,1069,1,0,0,54,"3,,,"
678edda0365f4e814ef65535,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,SAN SEBASTIAN,10111,UNIDAD EDUCATIVA SANTANA UNESA,01H00300,Ordinario,Particular,Urbana,Sierra,Intercultural,33,16,49,172,235,407,360,6,0,0,35,"6,,,"
678edda0365f4e814ef6553a,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,SAN SEBASTIAN,10111,LICEO CRISTIANO DE CUENCA,01H00312,Ordinario,Particular,Urbana,Sierra,Intercultural,27,4,31,203,230,433,414,0,0,1,17,"1,,,"
678edda0365f4e814ef65546,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,SAN SEBASTIAN,10111,CIUDAD DE CUENCA,01H00336,Ordinario,Fiscal,Urbana,Sierra,Intercultural,74,30,104,1774,0,1774,1763,2,0,2,7,"0,,,"
678edda0365f4e814ef6555c,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,SUCRE,10112,BILINGUE INTERAMERICANO,01H00377,Ordinario,Particular,Urbana,Sierra,Intercultural,21,23,44,464,266,730,694,2,0,0,27,"7,,,"
678edda0365f4e814ef65561,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,SUCRE,10112,BILINGUE INTERAMERICANO,01H00382,Ordinario,Particular,Urbana,Sierra,Intercultural,24,15,39,382,341,723,690,0,0,1,20,"12,,,"
678edda0365f4e814ef65565,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,SUCRE,10112,BENIGNO MALO,01H00391,Ordinario,Fiscal,Urbana,Sierra,Intercultural,40,83,123,432,1459,1891,1871,2,0,0,10,"8,,,"
678edda0365f4e814ef65568,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,SUCRE,10112,REMIGIO ROMERO Y CORDERRO,01H00395,Ordinario,Fiscal,Urbana,Sierra,Intercultural,12,7,19,168,270,438,421,6,0,5,3,"3,,,"
678edda0365f4e814ef6557f,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,YANUNCAY,10114,LICEO AMERICANO CATOLICO,01H00437,Ordinario,Particular,Urbana,Sierra,Intercultural,29,15,44,395,394,789,774,0,0,0,15,"0,,,"
678edda0365f4e814ef65581,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,YANUNCAY,10114,JOSE MARIA VELASCO IBARRA,01H00442,Ordinario,Fiscal,Urbana,Sierra,Intercultural,13,9,22,221,236,457,441,2,0,11,1,"2,,,"
